hepta_1223_1                     -21.1797                1.4727              0.1473
hepta_1224_1                     -21.9538                4.2941              0.4294
hepta_1225_1                     -35.0016                2.0147              0.2015
hepta_1226_1                     -42.6994                3.1899              0.3190
hepta_1227_1                     -30.8035                2.1043              0.2104
hepta_1228_1                     -33.8193                2.2503              0.2250
hepta_1229_1                     -42.6686                2.5083              0.2508
hepta_1230_1                     -40.2267                6.9309              0.6931
hepta_1231_1                     -44.3081                4.6392              0.4639
hepta_123_1                     -27.4604                2.0522              0.2052
hepta_1232_1                     -32.4359                4.5183              0.4518
hepta_1233_1                     -37.0948                2.5940              0.2594
hepta_1234_1                     -51.3308                5.1105              0.5111
hepta_1235_1                     -38.0466                2.0044              0.2004
hepta_1236_1                     -24.2362                3.3537              0.3354
hepta_1237_1                     -23.0179                2.5117              0.2512
hepta_1238_1                     -39.6593                5.3925              0.5392
hepta_1239_1                     -37.4695                3.1626              0.3163
hepta_1240_1                     -41.9925                2.7926              0.2793
hepta_1241_1                     -22.4554                2.0076              0.2008
hepta_124_1                     -37.1063                3.3662              0.3366
hepta_1242_1                     -29.4236                2.2783              0.2278
hepta_1243_1                     -25.9284                2.2949              0.2295
hepta_1244_1                     -39.3423                3.2468              0.3247
hepta_1245_1                     -38.3230                2.8061              0.2806
hepta_1246_1                     -29.4383                2.2503              0.2250
hepta_1247_1                     -23.4774                2.5281              0.2528
hepta_1248_1                     -27.3959                2.3919              0.2392
hepta_1249_1                     -28.1813                2.2293              0.2229
hepta_1250_1                     -36.7205                5.1852              0.5185
hepta_1251_1                     -26.4426                3.0168              0.3017
hepta_125_1                     -38.4006                2.6278              0.2628
hepta_1252_1                     -38.3571                3.2033              0.3203
hepta_1254_1                     -19.3881                2.2732              0.2273
hepta_1255_1                     -33.6310                2.5445              0.2544
hepta_1256_1                     -30.6468                2.3358              0.2336
hepta_1257_1                     -34.4090                2.4430              0.2443
hepta_1259_1                     -28.9604                2.2539              0.2254
hepta_1260_1                     -23.3878                2.8064              0.2806
hepta_1261_1                     -22.4255                1.6494              0.1649
hepta_126_1                     -30.9317                2.6636              0.2664
hepta_1262_1                     -33.2468                2.8521              0.2852
hepta_1263_1                     -22.9609                1.8918              0.1892
hepta_1264_1                     -25.8969                4.9404              0.4940
hepta_1265_1                     -25.3080                3.9140              0.3914
hepta_1267_1                     -41.8748                2.1379              0.2138
hepta_1268_1                     -25.3749                1.9086              0.1909
hepta_1269_1                     -30.6599                2.3433              0.2343
hepta_1270_1                     -31.5718                2.8534              0.2853
hepta_1271_1                     -24.7880                4.4354              0.4435
hepta_127_1                     -37.3309                2.1235              0.2123
hepta_1272_1                     -24.0840                3.1411              0.3141
hepta_1273_1                     -28.9401                3.3558              0.3356
hepta_1274_1                     -32.3119                2.4500              0.2450
hepta_1275_1                     -30.9371                2.1256              0.2126
hepta_1276_1                     -43.8671                3.2259              0.3226
hepta_1277_1                     -26.2101                2.2476              0.2248
hepta_1279_1                     -21.7569                2.0122              0.2012
hepta_1280_1                     -32.1178                2.0937              0.2094
hepta_1281_1                     -36.9132                4.3144              0.4314
hepta_128_1                     -30.9510                2.6220              0.2622
hepta_1282_1                     -23.3579                1.5237              0.1524
hepta_1283_1                     -33.8900                4.6889              0.4689
hepta_1284_1                     -30.9247                2.1585              0.2158
hepta_1285_1                     -25.1674                3.2455              0.3246
hepta_1286_1                     -34.8793                2.5962              0.2596
